Age,Primary streaming service,Hours per day,While working,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Hip hop],Frequency [Pop],Frequency [Rock],Anxiety,Depression,Insomnia,Music effects
31,Spotify,1,No,Rock,No,Yes,132,Rarely,Rarely,Very frequently,3,10,0,Worsen
38,Spotify,6,Yes,Pop,Yes,Yes,107,Very frequently,Very frequently,Sometimes,9,4,9,Improve
17,Spotify,4,No,Classical,Yes,Yes,135,Very frequently,Rarely,Never,7,9,2,Worsen
25,Apple Music,2,No,EDM,No,Yes,171,Never,Sometimes,Very frequently,10,3,1,Improve
20,Spotify,2,No,Metal,No,Yes,220,Never,Never,Sometimes,0,0,0,No effect
15,Spotify,2,Yes,EDM,No,No,171,Sometimes,Rarely,Never,9,6,1,No effect
16,Spotify,4,Yes,Lofi,Yes,No,85,Rarely,Sometimes,Rarely,7,1,3,Improve
20,Spotify,2,Yes,EDM,No,Yes,174,Sometimes,Sometimes,Sometimes,9,7,5,Improve
23,Other streaming service,6,Yes,Rap,Yes,Yes,87,Rarely,Very frequently,Rarely,3,1,2,Improve
22,Spotify,3,Yes,Hip hop,Yes,Yes,77,Very frequently,Very frequently,Sometimes,6,6,8,Improve
15,I do not use a streaming service.,5,Yes,Rock,Yes,Yes,126,Never,Very frequently,Very frequently,10,6,0,Improve
17,I do not use a streaming service.,0.5,Yes,Video game music,No,Yes,136,Never,Sometimes,Sometimes,6,3,1,Improve
22,YouTube Music,1,Yes,Video game music,Yes,Yes,80,Rarely,Rarely,Rarely,3,3,0,No effect
21,Spotify,10,Yes,Metal,Yes,Yes,92,Very frequently,Sometimes,Very frequently,9,10,2,No effect
19,Spotify,2,Yes,Pop,No,Yes,120,Rarely,Very frequently,Very frequently,7,5,0,No effect
32,Apple Music,0.5,No,Classical,Yes,No,,Never,Rarely,Very frequently,3,0,4,No effect
34,YouTube Music,1,No,Rock,No,Yes,138,Rarely,Rarely,Very frequently,9,9,6,Improve
